N,Same-T
100,31
200,67
300,101
400,140
500,176
600,215
700,250
800,286
900,326
1000,365
2000,759
3000,1164
4000,1582
5000,2007
6000,2429
7000,2861
8000,3295
9000,3729
10000,4161
20000,8520
30000,12997
40000,17486
50000,22024
60000,26631
70000,31181
80000,35799
90000,40408
100000,45022
200000,91938
300000,139472
400000,187289
500000,235189
600000,283529
700000,331709
800000,380338
900000,428880
1000000,477245
1500000,721292
2000000,966531
2500000,1212521
3000000,1460224
3500000,1707602
4000000,1956518
4500000,2205201
5000000,2454559
5500000,2704319
6000000,2954700
6500000,3204975
7000000,3455274
7500000,3707347
8000000,3957903
8500000,4209495
9000000,4460510
9500000,4712185
10000000,4964705
10500000,5216030
11000000,5468530
11500000,5721361
12000000,5973548
12500000,6225752
13000000,6479067
13500000,6732484
14000000,6984711
14500000,7239298
15000000,7492334
15500000,7745108
16000000,7998380
16500000,8251105
17000000,8506797
17500000,8759355
18000000,9013663
18500000,9266711
19000000,9521452
19500000,9776023
20000000,10031303
20500000,10285044
21000000,10538604
21500000,10794152
22000000,11047480
22500000,11303731
23000000,11558303
23500000,11811364
24000000,12067765
24500000,12322826
25000000,12577111
25500000,12833962
26000000,13088085
26500000,13343720
27000000,13599586
27500000,13854176
28000000,14108985
28500000,14365409
29000000,14622069
29500000,14875969
30000000,15133057
30500000,15388717
31000000,15643543
31500000,15898765
32000000,16155489
32500000,16410518
33000000,16665330
33500000,16923148
34000000,17180354
34500000,17435868
35000000,17690925
35500000,17948032
36000000,18204814
36500000,18460767
37000000,18715839
37500000,18972768
38000000,19229861
38500000,19486227
39000000,19742414
39500000,19997907
40000000,20257033
40500000,20513051
41000000,20768838
41500000,21024831
42000000,21281048
42500000,21539791
43000000,21795750
43500000,22052932
44000000,22306850
44500000,22564431
45000000,22823800
45500000,23080831
46000000,23337508
46500000,23593501
47000000,23849322
47500000,24108321
48000000,24365277
48500000,24622245
49000000,24879226
49500000,25134084
50000000,25392825
50500000,25651432
51000000,25909829
51500000,26167723
52000000,26422973
52500000,26680235
53000000,26938717
53500000,27196890
54000000,27454778
54500000,27712334
55000000,27968729
55500000,28224446
56000000,28483130
56500000,28743375
57000000,28999679
57500000,29257532
58000000,29515936
58500000,29771231
59000000,30028847
59500000,30288023
60000000,30547761
60500000,30806172
61000000,31062776
61500000,31319470
62000000,31577258
62500000,31832947
63000000,32092857
63500000,32351025
64000000,32609796
64500000,32867601
65000000,33124061
65500000,33383152
66000000,33638507
66500000,33898880
67000000,34158915
67500000,34417625
68000000,34676076
68500000,34932130
69000000,35191452
69500000,35446886
70000000,35706711
70500000,35964484
71000000,36225219
71500000,36485484
72000000,36742535
72500000,37001567
73000000,37258386
73500000,37517137
74000000,37773113
74500000,38033800
75000000,38292159
75500000,38553780
76000000,38810123
76500000,39069703
77000000,39326661
77500000,39586375
78000000,39842518
78500000,40101703
79000000,40359492
79500000,40621681
80000000,40881385
80500000,41140586
81000000,41398029
81500000,41658323
82000000,41914439
82500000,42172427
83000000,42431394
83500000,42687779
84000000,42949094
84500000,43208366
85000000,43469953
85500000,43726603
86000000,43985991
86500000,44243046
87000000,44503494
87500000,44761136
88000000,45017258
88500000,45278284
89000000,45537550
89500000,45800712
90000000,46059127
90500000,46317960
91000000,46576582
91500000,46834851
92000000,47094535
92500000,47351345
93000000,47611255
93500000,47870401
94000000,48128850
94500000,48390690
95000000,48650658
95500000,48912325
96000000,49168896
96500000,49429586
97000000,49687449
97500000,49944246
98000000,50205357
98500000,50463111
99000000,50719894
99500000,50982130
100000000,51242281
